city08,comb08,cylinders,displ,fuelType,highway08,make,model,trany,VClass,year
city MPG,combined MPG,engine cylinders,engine displacement in liters,fuel type,highway MPG,manufacturer,model name,transmission descriptor,EPA vehicle size class,model year
15,17,6,3.8,Regular,21,Kia,Sorento 2WD,Automatic 5-spd,Sport Utility Vehicle - 2WD,2008
19,21,4,2,Regular,25,Kia,Sportage 2WD,Automatic 4-spd,Sport Utility Vehicle - 2WD,2008
20,22,4,2,Regular,25,Kia,Sportage 2WD,Manual 5-spd,Sport Utility Vehicle - 2WD,2008
17,20,6,2.7,Regular,23,Kia,Sportage 2WD,Automatic 4-spd,Sport Utility Vehicle - 2WD,2008
27,25,6,3.3,Premium,24,Lexus,RX 400h 2WD,Automatic (variable gear ratios),Sport Utility Vehicle - 2WD,2008
16,19,6,3.5,Regular,24,Lincoln,MKX FWD,Automatic 6-spd,Sport Utility Vehicle - 2WD,2008
15,18,6,3.8,Premium,22,Mitsubishi,Endeavor 2WD,Automatic (S4),Sport Utility Vehicle - 2WD,2008
17,20,6,3,Regular,25,Mitsubishi,Outlander 2WD,Automatic (S6),Sport Utility Vehicle - 2WD,2008
22,24,4,2.5,Regular,27,Nissan,Rogue FWD,Automatic (variable gear ratios),Sport Utility Vehicle - 2WD,2008
15,17,6,4,Regular,20,Nissan,Xterra 2WD,Automatic 5-spd,Sport Utility Vehicle - 2WD,2008
16,17,6,4,Regular,20,Nissan,Xterra 2WD,Manual 6-spd,Sport Utility Vehicle - 2WD,2008
15,17,8,4.7,Regular,19,Toyota,4Runner 2WD,Automatic 5-spd,Sport Utility Vehicle - 2WD,2008
21,24,4,2.4,Regular,27,Toyota,RAV4 2WD,Automatic 4-spd,Sport Utility Vehicle - 2WD,2008
19,22,6,3.5,Regular,27,Toyota,RAV4 2WD,Automatic 5-spd,Sport Utility Vehicle - 2WD,2008
14,15,8,4.7,Regular,17,Toyota,Sequoia 2WD,Automatic (S5),Sport Utility Vehicle - 2WD,2008
14,15,8,5.7,Regular,19,Toyota,Sequoia 2WD,Automatic (S6),Sport Utility Vehicle - 2WD,2008
15,17,6,3.7,Premium,20,Acura,MDX 4WD,Automatic (S5),Sport Utility Vehicle - 4WD,2008
17,19,4,2.3,Premium,22,Acura,RDX 4WD,Automatic (S5),Sport Utility Vehicle - 4WD,2008
16,19,6,3,Premium,23,BMW,X3 3.0si,Manual 6-spd,Sport Utility Vehicle - 4WD,2008
17,20,6,3,Premium,24,BMW,X3 3.0si,Automatic (S6),Sport Utility Vehicle - 4WD,2008
15,18,6,3,Premium,21,BMW,X5 3.0si,Automatic (S6),Sport Utility Vehicle - 4WD,2008
14,16,8,4.8,Premium,19,BMW,X5 4.8i,Automatic (S6),Sport Utility Vehicle - 4WD,2008
13,15,8,4.7,Regular,17,Chrysler,Aspen 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
13,15,8,4.7,Regular,17,Dodge,Durango 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
15,18,6,3.5,Regular,22,Dodge,Magnum AWD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
15,18,8,5.7,Regular,22,Dodge,Magnum AWD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
15,18,6,3.5,Regular,22,Ford,Edge AWD,Automatic 6-spd,Sport Utility Vehicle - 4WD,2008
20,22,4,2.4,Regular,26,Honda,CR-V 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
17,19,6,2.7,Regular,23,Hyundai,Santa Fe 4WD,Automatic 4-spd,Sport Utility Vehicle - 4WD,2008
17,19,6,2.7,Regular,23,Hyundai,Santa Fe 4WD,Manual 5-spd,Sport Utility Vehicle - 4WD,2008
17,19,6,3.3,Regular,24,Hyundai,Santa Fe 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
19,21,4,2,Regular,24,Hyundai,Tucson 4WD,Manual 5-spd,Sport Utility Vehicle - 4WD,2008
17,19,6,2.7,Regular,23,Hyundai,Tucson 4WD,Automatic 4-spd,Sport Utility Vehicle - 4WD,2008
15,18,6,3.8,Regular,22,Hyundai,Veracruz 4WD,Automatic 6-spd,Sport Utility Vehicle - 4WD,2008
